STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
CDISCPILOT01,TS,1,EFFICACY,OUTMSPRI,Primary Outcome Measure,To assess the dose-dependent improvement in subject depression. Improved scores on the Patient Health Questionnaire(PHQ-9) and the Hamilton Depression Rating Scale(HAMD 17) will indicate improvements.,,,,
CDISCPILOT01,TS,2,EFFICACY,OUTMSPRI,Primary Outcome Measure,To assess the dose-dependent improvements in satisfaction with subjects' lives as a whole. Improved scores on the Satisfaction With Life Survery (SWLS) will indicate improvements.,,,,
CDISCPILOT01,TS,3,EFFICACY,OUTMSPRI,Primary Outcome Measure,To assess the dose-dependent improvements in subject memory and learning. Improved scores on the Auditory Verbal Learning Test (AVLT-REY) will indicate improvements.,,,,
CDISCPILOT01,TS,4,SAFETY,OUTMSPRI,Primary Outcome Measure,"Type, frequency, and severity of laboratory abnormalities",,,,
CDISCPILOT01,TS,5,SAFETY,OUTMSPRI,Primary Outcome Measure,"Type, frequency, and severity of adverse events (AEs)",,,,
CDISCPILOT01,TS,1,,PCLAS,Pharmacologic Class,Acetylcholine Release Inhibitor,,N0000175771,MED-RT,
CDISCPILOT01,TS,1,,PLANSUB,Planned Number of Subjects,20,,,,
CDISCPILOT01,TS,1,,RANDOM,Trial is Randomized,Y,,C49488,CDISC,2020-03-27
CDISCPILOT01,TS,1,,RANDQT,Randomization Quotient,0.67,,,,
CDISCPILOT01,TS,1,,REGID,Registry Identifier,NCT00000000,,NCT00000000,clinicaltrials.gov,
CDISCPILOT01,TS,1,,SDESIGN,Study Design,CROSSOVER,,,,
CDISCPILOT01,TS,1,,ROUTE,Route of Administration,SUBCUTANEOUS,,C38299,CDISC,2020-03-27
CDISCPILOT01,TS,1,,SDTIGVER,SDTM IG Version,3.3,,,,
CDISCPILOT01,TS,1,,SDTMVER,SDTM Version,1.7,,,,
CDISCPILOT01,TS,1,,SENDTC,Study End Date,2014-11-01,,,ISO 8601,
,,,,SNDCTVER,SEND Controlled Treminology Version,2011-01-07,,,,
CDISCPILOT01,TS,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC,2020-03-27
,,,,SPLRNAM,Test Subject Supplier,not me,,,,
CDISCPILOT01,TS,1,,SPECIES,Species,Rat,,,,
CDISCPILOT01,TS,1,,SPREFID,Sponsor's Reference ID,12345,,,,
CDISCPILOT01,TS,1,,SSPONSOR,Sponsor Organization,SDTM Metadata Submission Guidelines Team,,,,
CDISCPILOT01,TS,1,,STCAT,Study Category,TOX,,,,
CDISCPILOT01,TS,1,,STDIR,Study Director,not me either,,,,
,,,,STRAIN,Strain/Substrain,Fischer 344,,,,
CDISCPILOT01,TS,1,,STSTDTC,Study Start Date,2012-10-06,,,ISO 8601,
CDISCPILOT01,TS,1,,STITLE,Study Title,Example of a crossover study,,,,
CDISCPILOT01,TS,1,,STOPRULE,Study Stop Rules,NONE,,,,
CDISCPILOT01,TS,1,,SSTYP,Study Type,INTERVENTIONAL,,C98388,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TCNTRL,Control Type,PLACEBO,,C49648,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TDIGRP,Diagnosis Group,Patients with Probable Mild to Moderate Alzheimers Disease,,,,
CDISCPILOT01,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TITLE,Trial Title,Safety and Efficacy of Zanomaline in Patients with Mild to Moderate Alzheimers Disease.,,,,
CDISCPILOT01,TS,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,,C15601,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TRT,Investigational Therapy or Treatment,Zanomaline,,0XXX0X00XX,UNII,
CDISCPILOT01,TS,1,,TTYPE,Trial Type,SAFETY,,C49667,CDISC,2020-03-27
CDISCPILOT01,TS,2,,TFCNTRY,Test Facility Country,USA,,,,
CDISCPILOT01,TS,2,,TSTFLOC,Test Facility Location,Memphis,,,,
CDISCPILOT01,TS,2,,TSTFNAM,Test Facility Name,The White House,,,,
CDISCPILOT01,TS,2,,TRMSAC,Time to Terminal Sacrifice,P42D,,,,
CDISCPILOT01,TS,2,,TRTCAS,Primary Treatment CAS Registry Number ,12345,,,,
CDISCPILOT01,TS,2,,TRTUNII,Primary Treatment Unique Ingredient ID ,98765,,,,
,,,,TRTV,Treatment Vehicle,Saline,,,,
