parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcSurrogateIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_174,A174,,,FALSE,True,,,False,Activity_173,Activity_175,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_175,A175,,,FALSE,True,,,,Activity_174,Activity_269,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_269,A269,,,FALSE,False,True,True,True,Activity_175,Activity_270,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_270,A270,,,FALSE,False,True,True,False,Activity_269,Activity_271,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_271,A271,,,FALSE,False,True,True,,Activity_270,Activity_285,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_285,A285,,,FALSE,False,True,False,True,Activity_271,Activity_286,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_286,A286,,,FALSE,False,True,False,False,Activity_285,Activity_287,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_287,A287,,,FALSE,False,True,False,,Activity_286,Activity_301,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_301,A301,,,FALSE,False,True,,True,Activity_287,Activity_302,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_302,A302,,,FALSE,False,True,,False,Activity_301,Activity_303,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_303,A303,,,FALSE,False,True,,,Activity_302,Activity_333,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_333,A333,,,FALSE,False,False,True,True,Activity_303,Activity_334,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_334,A334,,,FALSE,False,False,True,False,Activity_333,Activity_335,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_335,A335,,,FALSE,False,False,True,,Activity_334,Activity_349,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_349,A349,,,FALSE,False,False,False,True,Activity_335,Activity_365,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_365,A365,,,FALSE,False,False,,True,Activity_349,Activity_397,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_397,A397,,,FALSE,False,,True,True,Activity_365,Activity_398,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_398,A398,,,FALSE,False,,True,False,Activity_397,Activity_399,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_399,A399,,,FALSE,False,,True,,Activity_398,Activity_413,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_413,A413,,,FALSE,False,,False,True,Activity_399,Activity_429,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_429,A429,,,FALSE,False,,,True,Activity_413,Activity_525,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_525,A525,,,FALSE,,True,True,True,Activity_429,Activity_526,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_526,A526,,,FALSE,,True,True,False,Activity_525,Activity_527,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_527,A527,,,FALSE,,True,True,,Activity_526,Activity_541,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_541,A541,,,FALSE,,True,False,True,Activity_527,Activity_542,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_542,A542,,,FALSE,,True,False,False,Activity_541,Activity_543,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_543,A543,,,FALSE,,True,False,,Activity_542,Activity_557,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_557,A557,,,FALSE,,True,,True,Activity_543,Activity_558,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_558,A558,,,FALSE,,True,,False,Activity_557,Activity_559,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_559,A559,,,FALSE,,True,,,Activity_558,Activity_589,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_589,A589,,,FALSE,,False,True,True,Activity_559,Activity_590,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_590,A590,,,FALSE,,False,True,False,Activity_589,Activity_591,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_591,A591,,,FALSE,,False,True,,Activity_590,Activity_605,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_605,A605,,,FALSE,,False,False,True,Activity_591,Activity_621,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_621,A621,,,FALSE,,False,,True,Activity_605,Activity_653,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_653,A653,,,FALSE,,,True,True,Activity_621,Activity_654,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_654,A654,,,FALSE,,,True,False,Activity_653,Activity_655,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_655,A655,,,FALSE,,,True,,Activity_654,Activity_669,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_669,A669,,,FALSE,,,False,True,Activity_655,Activity_685,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_685,A685,,,FALSE,,,,True,Activity_669,,,Activity
