parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,bcSurrogateIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_450,A450,,,FALSE,False,True,True,False,Activity_449,Activity_451,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_451,A451,,,FALSE,False,True,True,,Activity_450,Activity_453,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_453,A453,,,FALSE,False,True,False,True,Activity_451,Activity_454,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_454,A454,,,FALSE,False,True,False,False,Activity_453,Activity_455,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_455,A455,,,FALSE,False,True,False,,Activity_454,Activity_457,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_457,A457,,,FALSE,False,True,,True,Activity_455,Activity_458,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_458,A458,,,FALSE,False,True,,False,Activity_457,Activity_459,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_459,A459,,,FALSE,False,True,,,Activity_458,Activity_465,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_465,A465,,,FALSE,False,False,True,True,Activity_459,Activity_466,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_466,A466,,,FALSE,False,False,True,False,Activity_465,Activity_467,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_467,A467,,,FALSE,False,False,True,,Activity_466,Activity_469,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_469,A469,,,FALSE,False,False,False,True,Activity_467,Activity_473,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_473,A473,,,FALSE,False,False,,True,Activity_469,Activity_481,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_481,A481,,,FALSE,False,,True,True,Activity_473,Activity_482,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_482,A482,,,FALSE,False,,True,False,Activity_481,Activity_483,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_483,A483,,,FALSE,False,,True,,Activity_482,Activity_485,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_485,A485,,,FALSE,False,,False,True,Activity_483,Activity_489,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_489,A489,,,FALSE,False,,,True,Activity_485,Activity_705,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_705,A705,,,FALSE,,True,True,True,Activity_489,Activity_706,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_706,A706,,,FALSE,,True,True,False,Activity_705,Activity_707,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_707,A707,,,FALSE,,True,True,,Activity_706,Activity_709,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_709,A709,,,FALSE,,True,False,True,Activity_707,Activity_710,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_710,A710,,,FALSE,,True,False,False,Activity_709,Activity_711,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_711,A711,,,FALSE,,True,False,,Activity_710,Activity_713,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_713,A713,,,FALSE,,True,,True,Activity_711,Activity_714,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_714,A714,,,FALSE,,True,,False,Activity_713,Activity_715,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_715,A715,,,FALSE,,True,,,Activity_714,Activity_721,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_721,A721,,,FALSE,,False,True,True,Activity_715,Activity_722,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_722,A722,,,FALSE,,False,True,False,Activity_721,Activity_723,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_723,A723,,,FALSE,,False,True,,Activity_722,Activity_725,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_725,A725,,,FALSE,,False,False,True,Activity_723,Activity_729,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_729,A729,,,FALSE,,False,,True,Activity_725,Activity_737,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_737,A737,,,FALSE,,,True,True,Activity_729,Activity_738,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_738,A738,,,FALSE,,,True,False,Activity_737,Activity_739,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_739,A739,,,FALSE,,,True,,Activity_738,Activity_741,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_741,A741,,,FALSE,,,False,True,Activity_739,Activity_745,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_745,A745,,,FALSE,,,,True,Activity_741,,,Activity
