parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_324,A324,,,FALSE,False,False,True,True,Activity_300,Activity_328,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_328,A328,,,FALSE,False,False,True,False,Activity_324,Activity_332,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_332,A332,,,FALSE,False,False,True,,Activity_328,Activity_340,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_340,A340,,,FALSE,False,False,False,True,Activity_332,Activity_356,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_356,A356,,,FALSE,False,False,,True,Activity_340,Activity_388,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_388,A388,,,FALSE,False,,True,True,Activity_356,Activity_392,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_392,A392,,,FALSE,False,,True,False,Activity_388,Activity_396,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_396,A396,,,FALSE,False,,True,,Activity_392,Activity_404,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_404,A404,,,FALSE,False,,False,True,Activity_396,Activity_420,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_420,A420,,,FALSE,False,,,True,Activity_404,Activity_516,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_516,A516,,,FALSE,,True,True,True,Activity_420,Activity_520,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_520,A520,,,FALSE,,True,True,False,Activity_516,Activity_524,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_524,A524,,,FALSE,,True,True,,Activity_520,Activity_532,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_532,A532,,,FALSE,,True,False,True,Activity_524,Activity_536,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_536,A536,,,FALSE,,True,False,False,Activity_532,Activity_540,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_540,A540,,,FALSE,,True,False,,Activity_536,Activity_548,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_548,A548,,,FALSE,,True,,True,Activity_540,Activity_552,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_552,A552,,,FALSE,,True,,False,Activity_548,Activity_556,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_556,A556,,,FALSE,,True,,,Activity_552,Activity_580,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_580,A580,,,FALSE,,False,True,True,Activity_556,Activity_584,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_584,A584,,,FALSE,,False,True,False,Activity_580,Activity_588,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_588,A588,,,FALSE,,False,True,,Activity_584,Activity_596,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_596,A596,,,FALSE,,False,False,True,Activity_588,Activity_612,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_612,A612,,,FALSE,,False,,True,Activity_596,Activity_644,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_644,A644,,,FALSE,,,True,True,Activity_612,Activity_648,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_648,A648,,,FALSE,,,True,False,Activity_644,Activity_652,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_652,A652,,,FALSE,,,True,,Activity_648,Activity_660,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_660,A660,,,FALSE,,,False,True,Activity_652,Activity_676,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_676,A676,,,FALSE,,,,True,Activity_660,,,Activity
