STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
CDISCPILOT01,TS,1,,STOPRULE,Study Stop Rules,NONE,,,,
CDISCPILOT01,TS,1,1,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC,2020-03-27
CDISCPILOT01,TS,2,2,STYPE,Study Type,INTERVENTIONAL,,C98389,CDISC,2020-03-28
CDISCPILOT01,TS,3,,STYPE,Study Type,INTERVENTIONAL,,C98390,CDISC,2020-03-29
CDISCPILOT01,TS,3,,STYPE,Study Type,INTERVENTIONAL,,C98390,CDISC,2020-03-29
CDISCPILOT01,TS,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TCNTRL,Control Type,PLACEBO,,C49648,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TDIGRP,Diagnosis Group,,,,,
CDISCPILOT01,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TITLE,Trial Title,Safety and Efficacy of Zanomaline in Patients with Mild to Moderate Alzheimers Disease.,,,,
CDISCPILOT01,TS,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,,C15601,CDISC,2020-03-27
CDISCPILOT01,TS,1,1,TRT,Investigational Therapy or Treatment,,,0XXX0X00XX,UNII,
CDISCPILOT01,TS,1,,TTYPE,Trial Type,SAFETY,,C49667,CDISC,2020-03-27
CDISCPILOT01,TS,1,,TTYPE,Trial Type,EFFICACY,,C49666,CDISC,2020-03-27
