parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_795,A795,,,FALSE,True,False,,,Activity_794,Activity_801,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_801,A801,,,FALSE,True,,True,True,Activity_795,Activity_802,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_802,A802,,,FALSE,True,,True,False,Activity_801,Activity_803,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_803,A803,,,FALSE,True,,True,,Activity_802,Activity_805,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_805,A805,,,FALSE,True,,False,True,Activity_803,Activity_806,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_806,A806,,,FALSE,True,,False,False,Activity_805,Activity_807,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_807,A807,,,FALSE,True,,False,,Activity_806,Activity_809,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_809,A809,,,FALSE,True,,,True,Activity_807,Activity_810,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_810,A810,,,FALSE,True,,,False,Activity_809,Activity_811,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_811,A811,,,FALSE,True,,,,Activity_810,Activity_833,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_833,A833,,,FALSE,False,True,True,True,Activity_811,Activity_834,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_834,A834,,,FALSE,False,True,True,False,Activity_833,Activity_835,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_835,A835,,,FALSE,False,True,True,,Activity_834,Activity_837,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_837,A837,,,FALSE,False,True,False,True,Activity_835,Activity_838,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_838,A838,,,FALSE,False,True,False,False,Activity_837,Activity_839,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_839,A839,,,FALSE,False,True,False,,Activity_838,Activity_841,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_841,A841,,,FALSE,False,True,,True,Activity_839,Activity_842,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_842,A842,,,FALSE,False,True,,False,Activity_841,Activity_843,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_843,A843,,,FALSE,False,True,,,Activity_842,Activity_849,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_849,A849,,,FALSE,False,False,True,True,Activity_843,Activity_850,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_850,A850,,,FALSE,False,False,True,False,Activity_849,Activity_851,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_851,A851,,,FALSE,False,False,True,,Activity_850,Activity_853,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_853,A853,,,FALSE,False,False,False,True,Activity_851,Activity_857,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_857,A857,,,FALSE,False,False,,True,Activity_853,Activity_865,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_865,A865,,,FALSE,False,,True,True,Activity_857,Activity_866,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_866,A866,,,FALSE,False,,True,False,Activity_865,Activity_867,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_867,A867,,,FALSE,False,,True,,Activity_866,Activity_869,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_869,A869,,,FALSE,False,,False,True,Activity_867,Activity_873,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_873,A873,,,FALSE,False,,,True,Activity_869,Activity_897,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_897,A897,,,FALSE,,True,True,True,Activity_873,Activity_898,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_898,A898,,,FALSE,,True,True,False,Activity_897,Activity_899,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_899,A899,,,FALSE,,True,True,,Activity_898,Activity_901,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_901,A901,,,FALSE,,True,False,True,Activity_899,Activity_902,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_902,A902,,,FALSE,,True,False,False,Activity_901,Activity_903,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_903,A903,,,FALSE,,True,False,,Activity_902,Activity_905,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_905,A905,,,FALSE,,True,,True,Activity_903,Activity_906,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_906,A906,,,FALSE,,True,,False,Activity_905,Activity_907,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_907,A907,,,FALSE,,True,,,Activity_906,Activity_913,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_913,A913,,,FALSE,,False,True,True,Activity_907,Activity_914,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_914,A914,,,FALSE,,False,True,False,Activity_913,Activity_915,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_915,A915,,,FALSE,,False,True,,Activity_914,Activity_917,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_917,A917,,,FALSE,,False,False,True,Activity_915,Activity_921,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_921,A921,,,FALSE,,False,,True,Activity_917,Activity_929,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_929,A929,,,FALSE,,,True,True,Activity_921,Activity_930,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_930,A930,,,FALSE,,,True,False,Activity_929,Activity_931,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_931,A931,,,FALSE,,,True,,Activity_930,Activity_933,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_933,A933,,,FALSE,,,False,True,Activity_931,Activity_937,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_937,A937,,,FALSE,,,,True,Activity_933,,,Activity
