parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,environmentalSetting,contactModes,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,transitionEndRule,transitionEndRule.id,transitionEndRule.name,transitionEndRule.description,transitionEndRule.label,transitionEndRule.text,nextId,transitionStartRule,transitionStartRule.id,transitionStartRule.name,transitionStartRule.description,transitionStartRule.label,transitionStartRule.text,scheduledAtId,previousId
Encounter,Encounter_8,previousId,reference,Encounter_7,E8,Day 56,Week 8,Encounter,True,True,True,Code_101,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_8,,,,,,,Timing_7,Encounter_6
Encounter,Encounter_8,nextId,reference,Encounter_9,E10,Day 112,Week 16,Encounter,True,True,True,Code_109,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_10,,,,,,,Timing_11,Encounter_8
Encounter,Encounter_9,previousId,reference,Encounter_8,E9,Day 84,Week 12,Encounter,True,True,True,Code_105,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_9,,,,,,,Timing_9,Encounter_7
Encounter,Encounter_9,nextId,reference,Encounter_10,E11,Day 140,Week 20,Encounter,True,True,True,Code_113,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_11,,,,,,,Timing_13,Encounter_9
Encounter,Encounter_10,previousId,reference,Encounter_9,E10,Day 112,Week 16,Encounter,True,True,True,Code_109,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_10,,,,,,,Timing_11,Encounter_8
Encounter,Encounter_10,nextId,reference,Encounter_11,E12,Day 168,Week 24,Encounter,True,True,True,Code_117,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_12,,,,,,,Timing_15,Encounter_10
Encounter,Encounter_11,previousId,reference,Encounter_10,E11,Day 140,Week 20,Encounter,True,True,True,Code_113,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_11,,,,,,,Timing_13,Encounter_9
Encounter,Encounter_11,nextId,reference,Encounter_12,E13,Day 182,Week 26,Encounter,True,True,True,Code_120,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_6,ENCOUNTER_START_RULE_12,,,End of treatment,,,,,,,,Timing_16,Encounter_11
Encounter,Encounter_12,previousId,reference,Encounter_11,E12,Day 168,Week 24,Encounter,True,True,True,Code_117,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_12,,,,,,,Timing_15,Encounter_10
ScheduledActivityInstance,ScheduledActivityInstance_9,encounterId,reference,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_2,ENCOUNTER_START_RULE_1,,,completion of screening activities,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,,
ScheduledActivityInstance,ScheduledActivityInstance_10,encounterId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
ScheduledActivityInstance,ScheduledActivityInstance_11,encounterId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
ScheduledActivityInstance,ScheduledActivityInstance_12,encounterId,reference,Encounter_4,E4,Day 14,Week 2,Encounter,True,True,True,Code_92,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_5,,,,,,,Timing_4,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_13,encounterId,reference,Encounter_5,E5,Day 28,Week 4,Encounter,True,True,True,Code_95,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_6,,,,,,,Timing_5,Encounter_4
ScheduledActivityInstance,ScheduledActivityInstance_14,encounterId,reference,Encounter_6,E7,Day 42,Week 6,Encounter,True,True,True,Code_98,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_7,,,,,,,Timing_6,Encounter_5
ScheduledActivityInstance,ScheduledActivityInstance_15,encounterId,reference,Encounter_7,E8,Day 56,Week 8,Encounter,True,True,True,Code_101,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_8,,,,,,,Timing_7,Encounter_6
ScheduledActivityInstance,ScheduledActivityInstance_16,encounterId,reference,Encounter_7,E8,Day 56,Week 8,Encounter,True,True,True,Code_101,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_8,,,,,,,Timing_7,Encounter_6
ScheduledActivityInstance,ScheduledActivityInstance_17,encounterId,reference,Encounter_8,E9,Day 84,Week 12,Encounter,True,True,True,Code_105,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_9,,,,,,,Timing_9,Encounter_7
ScheduledActivityInstance,ScheduledActivityInstance_18,encounterId,reference,Encounter_8,E9,Day 84,Week 12,Encounter,True,True,True,Code_105,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_9,,,,,,,Timing_9,Encounter_7
ScheduledActivityInstance,ScheduledActivityInstance_19,encounterId,reference,Encounter_9,E10,Day 112,Week 16,Encounter,True,True,True,Code_109,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_10,,,,,,,Timing_11,Encounter_8
ScheduledActivityInstance,ScheduledActivityInstance_20,encounterId,reference,Encounter_9,E10,Day 112,Week 16,Encounter,True,True,True,Code_109,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_10,,,,,,,Timing_11,Encounter_8
ScheduledActivityInstance,ScheduledActivityInstance_21,encounterId,reference,Encounter_10,E11,Day 140,Week 20,Encounter,True,True,True,Code_113,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_11,,,,,,,Timing_13,Encounter_9
ScheduledActivityInstance,ScheduledActivityInstance_22,encounterId,reference,Encounter_10,E11,Day 140,Week 20,Encounter,True,True,True,Code_113,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_11,,,,,,,Timing_13,Encounter_9
ScheduledActivityInstance,ScheduledActivityInstance_23,encounterId,reference,Encounter_11,E12,Day 168,Week 24,Encounter,True,True,True,Code_117,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_12,,,,,,,Timing_15,Encounter_10
ScheduledActivityInstance,ScheduledActivityInstance_24,encounterId,reference,Encounter_12,E13,Day 182,Week 26,Encounter,True,True,True,Code_120,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_6,ENCOUNTER_START_RULE_12,,,End of treatment,,,,,,,,Timing_16,Encounter_11
