Entity,Instance_ID,Path,Attribute,Value
Activity.xpt,Activity_491,,bcCategoryIds,null
Activity.xpt,Activity_491,,bcSurrogateIds,null
Activity.xpt,Activity_491,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_491,,childIds,null
Activity.xpt,Activity_491,,definedProcedures,False
Activity.xpt,Activity_491,,id,Activity_491
Activity.xpt,Activity_491,,name,A491
Activity.xpt,Activity_491,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_491,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_491,,parent_rel,activities
Activity.xpt,Activity_491,,timelineId,Not in dataset
Activity.xpt,Activity_726,,bcCategoryIds,False
Activity.xpt,Activity_726,,bcSurrogateIds,False
Activity.xpt,Activity_726,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_726,,childIds,False
Activity.xpt,Activity_726,,definedProcedures,null
Activity.xpt,Activity_726,,id,Activity_726
Activity.xpt,Activity_726,,name,A726
Activity.xpt,Activity_726,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_726,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_726,,parent_rel,activities
Activity.xpt,Activity_726,,timelineId,Not in dataset
Activity.xpt,Activity_727,,bcCategoryIds,False
Activity.xpt,Activity_727,,bcSurrogateIds,False
Activity.xpt,Activity_727,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_727,,childIds,null
Activity.xpt,Activity_727,,definedProcedures,null
Activity.xpt,Activity_727,,id,Activity_727
Activity.xpt,Activity_727,,name,A727
Activity.xpt,Activity_727,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_727,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_727,,parent_rel,activities
Activity.xpt,Activity_727,,timelineId,Not in dataset
Activity.xpt,Activity_730,,bcCategoryIds,null
Activity.xpt,Activity_730,,bcSurrogateIds,False
Activity.xpt,Activity_730,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_730,,childIds,False
Activity.xpt,Activity_730,,definedProcedures,null
Activity.xpt,Activity_730,,id,Activity_730
Activity.xpt,Activity_730,,name,A730
Activity.xpt,Activity_730,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_730,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_730,,parent_rel,activities
Activity.xpt,Activity_730,,timelineId,Not in dataset
Activity.xpt,Activity_731,,bcCategoryIds,null
Activity.xpt,Activity_731,,bcSurrogateIds,False
Activity.xpt,Activity_731,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_731,,childIds,null
Activity.xpt,Activity_731,,definedProcedures,null
Activity.xpt,Activity_731,,id,Activity_731
Activity.xpt,Activity_731,,name,A731
Activity.xpt,Activity_731,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_731,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_731,,parent_rel,activities
Activity.xpt,Activity_731,,timelineId,Not in dataset
Activity.xpt,Activity_742,,bcCategoryIds,False
Activity.xpt,Activity_742,,bcSurrogateIds,null
Activity.xpt,Activity_742,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_742,,childIds,False
Activity.xpt,Activity_742,,definedProcedures,null
Activity.xpt,Activity_742,,id,Activity_742
Activity.xpt,Activity_742,,name,A742
Activity.xpt,Activity_742,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_742,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_742,,parent_rel,activities
Activity.xpt,Activity_742,,timelineId,Not in dataset
Activity.xpt,Activity_743,,bcCategoryIds,False
Activity.xpt,Activity_743,,bcSurrogateIds,null
Activity.xpt,Activity_743,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_743,,childIds,null
Activity.xpt,Activity_743,,definedProcedures,null
Activity.xpt,Activity_743,,id,Activity_743
Activity.xpt,Activity_743,,name,A743
Activity.xpt,Activity_743,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_743,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_743,,parent_rel,activities
Activity.xpt,Activity_743,,timelineId,Not in dataset
Activity.xpt,Activity_746,,bcCategoryIds,null
Activity.xpt,Activity_746,,bcSurrogateIds,null
Activity.xpt,Activity_746,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_746,,childIds,False
Activity.xpt,Activity_746,,definedProcedures,null
Activity.xpt,Activity_746,,id,Activity_746
Activity.xpt,Activity_746,,name,A746
Activity.xpt,Activity_746,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_746,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_746,,parent_rel,activities
Activity.xpt,Activity_746,,timelineId,Not in dataset
Activity.xpt,Activity_747,,bcCategoryIds,null
Activity.xpt,Activity_747,,bcSurrogateIds,null
Activity.xpt,Activity_747,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_747,,childIds,null
Activity.xpt,Activity_747,,definedProcedures,null
Activity.xpt,Activity_747,,id,Activity_747
Activity.xpt,Activity_747,,name,A747
Activity.xpt,Activity_747,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_747,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_747,,parent_rel,activities
Activity.xpt,Activity_747,,timelineId,Not in dataset
