parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,definedProcedures,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,previousId,nextId,timelineId
StudyDesign,StudyDesign_1,activities,definition,Activity_46,Activity 46,,,Activity,,True,,True,Activity_45,Activity_47,
StudyDesign,StudyDesign_1,activities,definition,Activity_47,Activity 47,,,Activity,,True,,False,Activity_46,Activity_48,
StudyDesign,StudyDesign_1,activities,definition,Activity_48,Activity 48,,,Activity,,True,,,Activity_47,Activity_49,
StudyDesign,StudyDesign_1,activities,definition,Activity_49,Activity 49,,,Activity,,False,True,True,Activity_48,Activity_50,
StudyDesign,StudyDesign_1,activities,definition,Activity_50,Activity 50,,,Activity,,False,True,False,Activity_49,Activity_51,
StudyDesign,StudyDesign_1,activities,definition,Activity_51,Activity 51,,,Activity,,False,True,,Activity_50,Activity_52,
StudyDesign,StudyDesign_1,activities,definition,Activity_52,Activity 52,,,Activity,,False,False,True,Activity_51,Activity_53,
StudyDesign,StudyDesign_1,activities,definition,Activity_53,Activity 53,,,Activity,,False,,True,Activity_52,Activity_54,
StudyDesign,StudyDesign_1,activities,definition,Activity_54,Activity 54,,,Activity,,,True,True,Activity_53,Activity_55,
StudyDesign,StudyDesign_1,activities,definition,Activity_55,Activity 55,,,Activity,,,True,False,Activity_54,Activity_56,
StudyDesign,StudyDesign_1,activities,definition,Activity_56,Activity 56,,,Activity,,,True,,Activity_55,Activity_57,
StudyDesign,StudyDesign_1,activities,definition,Activity_57,Activity 57,,,Activity,,,False,True,Activity_56,Activity_58,
StudyDesign,StudyDesign_1,activities,definition,Activity_58,Activity 58,,,Activity,,,,True,Activity_57,,
