parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_186,A186,,,FALSE,True,,,False,Activity_185,Activity_187,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_187,A187,,,FALSE,True,,,,Activity_186,Activity_305,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_305,A305,,,FALSE,False,True,True,True,Activity_187,Activity_306,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_306,A306,,,FALSE,False,True,True,False,Activity_305,Activity_307,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_307,A307,,,FALSE,False,True,True,,Activity_306,Activity_309,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_309,A309,,,FALSE,False,True,False,True,Activity_307,Activity_310,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_310,A310,,,FALSE,False,True,False,False,Activity_309,Activity_311,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_311,A311,,,FALSE,False,True,False,,Activity_310,Activity_313,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_313,A313,,,FALSE,False,True,,True,Activity_311,Activity_314,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_314,A314,,,FALSE,False,True,,False,Activity_313,Activity_315,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_315,A315,,,FALSE,False,True,,,Activity_314,Activity_369,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_369,A369,,,FALSE,False,False,True,True,Activity_315,Activity_370,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_370,A370,,,FALSE,False,False,True,False,Activity_369,Activity_371,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_371,A371,,,FALSE,False,False,True,,Activity_370,Activity_373,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_373,A373,,,FALSE,False,False,False,True,Activity_371,Activity_377,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_377,A377,,,FALSE,False,False,,True,Activity_373,Activity_433,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_433,A433,,,FALSE,False,,True,True,Activity_377,Activity_434,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_434,A434,,,FALSE,False,,True,False,Activity_433,Activity_435,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_435,A435,,,FALSE,False,,True,,Activity_434,Activity_437,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_437,A437,,,FALSE,False,,False,True,Activity_435,Activity_441,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_441,A441,,,FALSE,False,,,True,Activity_437,Activity_561,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_561,A561,,,FALSE,,True,True,True,Activity_441,Activity_562,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_562,A562,,,FALSE,,True,True,False,Activity_561,Activity_563,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_563,A563,,,FALSE,,True,True,,Activity_562,Activity_565,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_565,A565,,,FALSE,,True,False,True,Activity_563,Activity_566,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_566,A566,,,FALSE,,True,False,False,Activity_565,Activity_567,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_567,A567,,,FALSE,,True,False,,Activity_566,Activity_569,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_569,A569,,,FALSE,,True,,True,Activity_567,Activity_570,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_570,A570,,,FALSE,,True,,False,Activity_569,Activity_571,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_571,A571,,,FALSE,,True,,,Activity_570,Activity_625,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_625,A625,,,FALSE,,False,True,True,Activity_571,Activity_626,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_626,A626,,,FALSE,,False,True,False,Activity_625,Activity_627,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_627,A627,,,FALSE,,False,True,,Activity_626,Activity_629,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_629,A629,,,FALSE,,False,False,True,Activity_627,Activity_633,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_633,A633,,,FALSE,,False,,True,Activity_629,Activity_689,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_689,A689,,,FALSE,,,True,True,Activity_633,Activity_690,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_690,A690,,,FALSE,,,True,False,Activity_689,Activity_691,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_691,A691,,,FALSE,,,True,,Activity_690,Activity_693,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_693,A693,,,FALSE,,,False,True,Activity_691,Activity_697,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_697,A697,,,FALSE,,,,True,Activity_693,,,Activity
